p1,p2,p3,p4
0.0028267,0.0016607,4.4817,6.3557
0.011347,0.0057533,0.25753,6.3235
0.016378,0.0053853,0.46037,2.5292
0.0059544,0.00020598,2.8637,1.7543
0.010295,0.003636,0.38675,4.6454
0.011652,0.0049269,0.019423,6.0657
0.010347,0.0049752,0.44487,0.004758
0.0072547,0.0020898,0.3687,1.3729
0.012385,0.001663,0.97488,0.00471
0.011493,0.003504,0.45608,2.5961
0.0079298,0.00049072,0.43473,16.055
0.012124,0.0062355,0.54026,0.40978
0.016122,0.0016484,1.2754,5.3042
0.0051357,3.80E-06,0.77101,0.00471
0.011473,0.0018538,0.72412,10.201
0.0042104,3.80E-06,0.76979,0.18856
0.014633,0.0020985,0.76576,5.9727
0.011224,0.00047466,0.5211,4.2022
0.020448,0.0011747,0.71271,3.228
0.0073485,0.000495,1.1653,0.0048014
0.014556,0.00015414,0.60664,2.3338
0.0089387,0.002355,0.39233,0.0047115
0.012188,0.0008816,1.7986,4.0078
0.010496,0.0035309,0.50354,0.13486
0.0086639,0.0035254,0.3882,1.5805
0.0091508,0.0025068,0.2207,0.00471
0.012651,0.0023793,0.78956,0.00471
0.013139,0.0025069,0.46789,6.1503
0.01013,0.0029347,0.99541,2.7489
0.010517,0.0018324,0.51546,0.8906
0.010436,0.0020652,0.18232,6.7502
0.014558,0.0031378,0.28594,2.0857
0.0095764,0.0026191,1.999,0.00471
0.0087602,0.00099165,0.71416,3.0072
0.010461,0.00037617,1.5396,0.0047113
0.012761,0.0001122,0.54757,12.288
0.0094596,0.00047278,0.48218,1.3382
0.0067502,0.00022183,0.29663,3.4609
0.0044849,0.0013547,0.46221,2.5602
0.0082536,0.00064899,0.2037,18.407
0.010362,0.0013213,0.3966,0.2505
0.011528,0.0025719,0.32934,6.0932
0.0057918,1.95E-05,0.93433,15.111
0.013938,0.0014676,0.51062,2.6767
0.0088816,0.0013689,0.81747,6.3058
0.0056621,0.0013453,0.67527,0.69895
0.011316,0.00090551,0.74414,2.7924
0.0073204,0.00015342,1.5664,0.00471
0.0039613,0.00035221,0.27486,4.0589
0.0086804,0.0020726,0.80113,0.87033
0.0057609,3.80E-06,0.51873,5.9382
0.0077529,0.00036687,0.62671,2.3145
0.0041547,3.86E-06,0.57178,1.8578
0.008736,0.0024012,0.55835,1.0512
0.0091791,3.80E-06,0.76735,0.00471
0.0099306,0.00096475,0.34215,2.8762
0.011205,0.0018087,0.39104,2.2247
0.016431,0.0031506,0.40513,4.5678
0.011273,0.0019433,0.25204,1.5102
0.0016896,3.80E-06,0.84762,37.775
0.0086935,0.00097887,0.49742,5.1499
0.012449,0.00046137,0.81526,4.7744
0.014347,0.00030011,2.1598,0.0047138
0.010334,0.0011439,0.94581,1.0222
0.0094862,0.0020477,1.5525,1.5011
0.006858,0.0025093,0.10203,7.6932
0.0093307,0.001484,0.21809,3.366
0.014521,0.00083332,0.72045,0.87357
0.0079101,0.0020434,0.64476,0.68222
0.015581,0.00069398,0.29653,0.20069
0.012315,0.0023416,0.69833,1.2895
0.0034036,3.80E-06,0.70829,0.00471
0.0093121,0.0011875,0.25343,1.4304
0.013326,0.0015016,0.44553,6.1699
0.012968,0.0052478,0.56455,10.284
